,iso_639_1,english_name,name
0,xx,No Language,No Language
1,aa,Afar,
2,af,Afrikaans,Afrikaans
3,ak,Akan,
4,an,Aragonese,
5,as,Assamese,
6,av,Avaric,
7,ae,Avestan,
8,ay,Aymara,
9,az,Azerbaijani,Azərbaycan
10,ba,Bashkir,
11,bm,Bambara,Bamanankan
12,bi,Bislama,
13,bo,Tibetan,
14,br,Breton,
15,ca,Catalan,Català
16,cs,Czech,Český
17,ce,Chechen,
18,cu,Slavic,
19,cv,Chuvash,
20,kw,Cornish,
21,co,Corsican,
22,cr,Cree,
23,cy,Welsh,Cymraeg
24,da,Danish,Dansk
25,de,German,Deutsch
26,dv,Divehi,
27,dz,Dzongkha,
28,eo,Esperanto,Esperanto
29,et,Estonian,Eesti
30,eu,Basque,euskera
31,fo,Faroese,
32,fj,Fijian,
33,fi,Finnish,suomi
34,fr,French,Français
35,fy,Frisian,
36,ff,Fulah,Fulfulde
37,gd,Gaelic,
38,ga,Irish,Gaeilge
39,gl,Galician,Galego
40,gv,Manx,
41,gn,Guarani,
42,gu,Gujarati,
43,ht,Haitian; Haitian Creole,
44,ha,Hausa,Hausa
45,sh,Serbo-Croatian,
46,hz,Herero,
47,ho,Hiri Motu,
48,hr,Croatian,Hrvatski
49,hu,Hungarian,Magyar
50,ig,Igbo,
51,io,Ido,
52,ii,Yi,
53,iu,Inuktitut,
54,ie,Interlingue,
55,ia,Interlingua,
56,id,Indonesian,Bahasa indonesia
57,ik,Inupiaq,
58,is,Icelandic,Íslenska
59,it,Italian,Italiano
60,jv,Javanese,
61,ja,Japanese,日本語
62,kl,Kalaallisut,
63,kn,Kannada,?????
64,ks,Kashmiri,
65,kr,Kanuri,
66,kk,Kazakh,қазақ
67,km,Khmer,
68,ki,Kikuyu,
69,rw,Kinyarwanda,Kinyarwanda
70,ky,Kirghiz,??????
71,kv,Komi,
72,kg,Kongo,
73,ko,Korean,한국어/조선말
74,kj,Kuanyama,
75,ku,Kurdish,
76,lo,Lao,
77,la,Latin,Latin
78,lv,Latvian,Latviešu
79,li,Limburgish,
80,ln,Lingala,
81,lt,Lithuanian,Lietuvių
82,lb,Letzeburgesch,
83,lu,Luba-Katanga,
84,lg,Ganda,
85,mh,Marshall,
86,ml,Malayalam,
87,mr,Marathi,
88,mg,Malagasy,
89,mt,Maltese,Malti
90,mo,Moldavian,
91,mn,Mongolian,
92,mi,Maori,
93,ms,Malay,Bahasa melayu
94,my,Burmese,
95,na,Nauru,
96,nv,Navajo,
97,nr,Ndebele,
98,nd,Ndebele,
99,ng,Ndonga,
100,ne,Nepali,
101,nl,Dutch,Nederlands
102,nn,Norwegian Nynorsk,
103,nb,Norwegian Bokmål,Bokmål
104,no,Norwegian,Norsk
105,ny,Chichewa; Nyanja,
106,oc,Occitan,
107,oj,Ojibwa,
108,or,Oriya,
109,om,Oromo,
110,os,Ossetian; Ossetic,
111,pi,Pali,
112,pl,Polish,Polski
113,pt,Portuguese,Português
114,qu,Quechua,
115,rm,Raeto-Romance,
116,ro,Romanian,Română
117,rn,Rundi,Kirundi
118,ru,Russian,Pусский
119,sg,Sango,
120,sa,Sanskrit,
121,si,Sinhalese,සිංහල
122,sk,Slovak,Slovenčina
123,sl,Slovenian,Slovenščina
124,se,Northern Sami,
125,sm,Samoan,
126,sn,Shona,
127,sd,Sindhi,
128,so,Somali,Somali
129,st,Sotho,
130,es,Spanish,Español
131,sq,Albanian,shqip
132,sc,Sardinian,
133,sr,Serbian,Srpski
134,ss,Swati,
135,su,Sundanese,
136,sw,Swahili,Kiswahili
137,sv,Swedish,svenska
138,ty,Tahitian,
139,ta,Tamil,தமிழ்
140,tt,Tatar,
141,te,Telugu,తెలుగు
142,tg,Tajik,
143,tl,Tagalog,
144,th,Thai,ภาษาไทย
145,ti,Tigrinya,
146,to,Tonga,
147,tn,Tswana,
148,ts,Tsonga,
149,tk,Turkmen,
150,tr,Turkish,Türkçe
151,tw,Twi,
152,ug,Uighur,
153,uk,Ukrainian,Український
154,ur,Urdu,اردو
155,uz,Uzbek,ozbek
156,ve,Venda,
157,vi,Vietnamese,Tiếng Việt
158,vo,Volapük,
159,wa,Walloon,
160,wo,Wolof,Wolof
161,xh,Xhosa,
162,yi,Yiddish,
163,za,Zhuang,
164,zu,Zulu,isiZulu
165,ab,Abkhazian,
166,zh,Mandarin,普通话
167,ps,Pushto,پښتو
168,am,Amharic,
169,ar,Arabic,العربية
170,bg,Bulgarian,български език
171,cn,Cantonese,广州话 / 廣州話
172,mk,Macedonian,
173,el,Greek,ελληνικά
174,fa,Persian,فارسی
175,he,Hebrew,עִבְרִית
176,hi,Hindi,हिन्दी
177,hy,Armenian,
178,en,English,English
179,ee,Ewe,Èʋegbe
180,ka,Georgian,ქართული
181,pa,Punjabi,ਪੰਜਾਬੀ
182,bn,Bengali,বাংলা
183,bs,Bosnian,Bosanski
184,ch,Chamorro,Finu' Chamorro
185,be,Belarusian,беларуская мова
186,yo,Yoruba,Èdè Yorùbá
